Hours since 00:00 Jan 1,Total Electricity Consumption (10^7)
0.5,145551023
1.5,154586395
2.5,151464415
3.5,152821387
4.5,149509354
5.5,154169357
6.5,159284777
7.5,175174134
8.5,163769580
9.5,144270727
10.5,152806219
11.5,118450892
12.5,92573065
13.5,81162441
14.5,76987924
15.5,86502707
16.5,108664926
17.5,148711845
18.5,139178693
19.5,140831256
20.5,145162980
21.5,148888808
22.5,152060735
23.5,153910108
24.5,162465476
25.5,167299941
26.5,175586665
27.5,181846053
28.5,186819779
29.5,197254149
30.5,224953396
31.5,231133182
32.5,205044079
33.5,175620307
34.5,180753355
35.5,135975514
36.5,114878232
37.5,104484197
38.5,101437849
39.5,110381283
40.5,126663645
41.5,170317656
42.5,153950313
43.5,152515780
44.5,152091763
45.5,151428194
46.5,150895135
47.5,148006086
48.5,145775296
49.5,143086467
50.5,142945125
51.5,142842252
52.5,141617765
53.5,143780579
54.5,147218631
55.5,144959502
56.5,143914212
57.5,140265419
58.5,153309423
59.5,136494947
60.5,132046565
61.5,121873085
62.5,118812055
63.5,119100779
64.5,125661647
65.5,154371275
66.5,138232518
67.5,132839300
68.5,131674847
69.5,133271528
70.5,130860886
71.5,129350589
72.5,131465175
73.5,131204358
74.5,140496293
75.5,148858185
76.5,155998236
77.5,170997675
78.5,181298421
79.5,186043637
80.5,180006934
81.5,159954425
82.5,181881994
83.5,151474492
84.5,139557631
85.5,136542862
86.5,134673538
87.5,143803533
88.5,151921737
89.5,194037196
90.5,179634508
91.5,182636832
92.5,184791534
93.5,185083036
94.5,182960493
95.5,182521916
96.5,191487615
97.5,195123461
98.5,197171245
99.5,199394754
100.5,202138705
101.5,207376931
102.5,215782419
103.5,240755917
104.5,221728331
105.5,205129116
106.5,225141864
107.5,181009835
108.5,164273482
109.5,150917728
110.5,150558653
111.5,157596120
112.5,166814374
113.5,215732757
114.5,195036720
115.5,195680915
116.5,196104509
117.5,196082182
118.5,196431121
119.5,197147819
120.5,200073614
121.5,202732768
122.5,209181980
123.5,211366267
124.5,214940326
125.5,219684258
126.5,226216066
127.5,224781547
128.5,203627337
129.5,178413443
130.5,188813580
131.5,150630018
132.5,135904132
133.5,121543472
134.5,114109977
135.5,121482499
136.5,134032806
137.5,178816135
138.5,164142885
139.5,163442401
140.5,161604279
141.5,165557195
142.5,164049322
143.5,163606836
144.5,164071988
145.5,167535657
146.5,171401526
147.5,173402126
148.5,171776823
149.5,175941507
150.5,181999768
151.5,183485792
152.5,173776029
153.5,168230947
154.5,181469503
155.5,152765507
156.5,145223515
157.5,135834546
158.5,129203135
159.5,132893608
160.5,137781510
161.5,170867878
162.5,152934970
163.5,147090829
164.5,143813645
165.5,140922626
166.5,136842086
167.5,132727717
168.5,128532575
169.5,130457830
170.5,132766959
171.5,133388365
172.5,135596564
173.5,140838154
174.5,148004129
175.5,167093345
176.5,155375412
177.5,150977004
178.5,150024511
179.5,153196626
180.5,156004183
181.5,155537226
182.5,150815560
183.5,153354506
184.5,165672951
185.5,210492663
186.5,200800374
187.5,201725991
188.5,207876861
189.5,219405201
190.5,224470003
191.5,225713702
192.5,225948547
193.5,227108274
194.5,230430592
195.5,235000783
196.5,237526847
197.5,243165113
198.5,253619847
199.5,275557119
200.5,246639189
201.5,217266926
202.5,231486573
203.5,188098283
204.5,166156667
205.5,161316862
206.5,168913177
207.5,176760680
208.5,187415662
209.5,237793514
210.5,220573769
211.5,225582657
212.5,226396263
213.5,225593594
214.5,226707786
215.5,227052282
216.5,230715745
217.5,232516189
218.5,238465293
219.5,241772089
220.5,247643751
221.5,251077923
222.5,257211708
223.5,277340378
224.5,242034294
225.5,214487862
226.5,224285400
227.5,172571769
228.5,149349190
229.5,142737939
230.5,135885276
231.5,141327455
232.5,158535725
233.5,205373516
234.5,189094608
235.5,189069640
236.5,189056641
237.5,188784282
238.5,187883929
239.5,188137004
240.5,188869622
241.5,190407815
242.5,192125276
243.5,193904448
244.5,194223298
245.5,197585841
246.5,205830622
247.5,228572959
248.5,212942745
249.5,201781381
250.5,229837774
251.5,195109703
252.5,181682873
253.5,172118717
254.5,161199405
255.5,158389375
256.5,158657983
257.5,159607080
258.5,184720897
259.5,159971010
260.5,155342395
261.5,162989374
262.5,160106690
263.5,167229559
264.5,165183684
265.5,168321067
266.5,171580845
267.5,174793737
268.5,177600005
269.5,182578264
270.5,190012489
271.5,208892133
272.5,190802114
273.5,163298513
274.5,167179571
275.5,127117949
276.5,121100989
277.5,121851016
278.5,122430942
279.5,126807686
280.5,139928081
281.5,182478523
282.5,167559289
283.5,164223855
284.5,167927958
285.5,165920327
286.5,167114437
287.5,167841492
288.5,168642075
289.5,173350618
290.5,176704686
291.5,179972948
292.5,184328246
293.5,190815580
294.5,199196079
295.5,200906730
296.5,192398018
297.5,172026172
298.5,190020541
299.5,144690530
300.5,122978050
301.5,114123064
302.5,104646549
303.5,101691473
304.5,106297054
305.5,135319260
306.5,139839043
307.5,119430253
308.5,111396506
309.5,109659161
310.5,102525613
311.5,97778473
312.5,96552700
313.5,95305051
314.5,89736037
315.5,89977379
316.5,106371093
317.5,112649551
318.5,137766762
319.5,130399316
320.5,131639850
321.5,124942863
322.5,123074655
323.5,102577560
324.5,88548773
325.5,73805132
326.5,70941329
327.5,80920754
328.5,100183923
329.5,135579448
330.5,128809784
331.5,134649251
332.5,136667845
333.5,142702280
334.5,146563989
335.5,146536282
336.5,156154831
337.5,158995157
338.5,162387397
339.5,162390446
340.5,175328595
341.5,178711076
342.5,187187237
343.5,196570435
344.5,181543544
345.5,178685524
346.5,189988554
347.5,171299948
348.5,148245915
349.5,137026041
350.5,128910913
351.5,131425795
352.5,144496769
353.5,185753444
354.5,170925460
355.5,168887451
356.5,170304554
357.5,173705478
358.5,171525593
359.5,170967675
360.5,170490447
361.5,174621461
362.5,175503822
363.5,176731377
364.5,178472912
365.5,183501470
366.5,187779268
367.5,186109804
368.5,174908180
369.5,142032647
370.5,148500553
371.5,126859465
372.5,121516467
373.5,120771429
374.5,119461580
375.5,118808991
376.5,123984749
377.5,153883926
378.5,137160666
379.5,133601458
380.5,131616286
381.5,131074845
382.5,128048660
383.5,128569784
384.5,127726013
385.5,130977342
386.5,140341844
387.5,148967218
388.5,160405358
389.5,172339108
390.5,200301788
391.5,196864364
392.5,194073808
393.5,188294728
394.5,198293144
395.5,160988533
396.5,147770667
397.5,137737054
398.5,151265627
399.5,175452420
400.5,186328726
401.5,239143878
402.5,220262205
403.5,222016456
404.5,222910440
405.5,233100435
406.5,238385640
407.5,239505403
408.5,242236489
409.5,251808556
410.5,258451016
411.5,262917221
412.5,275303661
413.5,285138272
414.5,314957452
415.5,323614523
416.5,286902857
417.5,257626805
418.5,272976034
419.5,220718239
420.5,187239765
421.5,167223856
422.5,165499803
423.5,174299318
424.5,192792968
425.5,255009863
426.5,233730414
427.5,238409826
428.5,242160697
429.5,246988684
430.5,249530433
431.5,253135171
432.5,254354235
433.5,259474882
434.5,263922190
435.5,274065457
436.5,278364724
437.5,283183028
438.5,292359352
439.5,318177666
440.5,282164296
441.5,242369047
442.5,246434645
443.5,187758347
444.5,156723423
445.5,136163010
446.5,128454131
447.5,131917658
448.5,149207849
449.5,197988075
450.5,185047236
451.5,185666705
452.5,189234584
453.5,191511280
454.5,191727301
455.5,192694696
456.5,192356250
457.5,192048489
458.5,196448284
459.5,197733497
460.5,195728743
461.5,197803120
462.5,216148692
463.5,205340854
464.5,196302116
465.5,185614284
466.5,212035874
467.5,179943903
468.5,167065872
469.5,163051492
470.5,159090692
471.5,158497736
472.5,162498630
473.5,202113200
474.5,186123997
475.5,182648101
476.5,178950445
477.5,175779382
478.5,175803656
479.5,173265478
480.5,172716293
481.5,174796351
482.5,180226640
483.5,181483543
484.5,183428693
485.5,185377820
486.5,204074469
487.5,195229555
488.5,187415696
489.5,175856281
490.5,193002281
491.5,161176575
492.5,148862839
493.5,139722240
494.5,138688033
495.5,138558878
496.5,142144696
497.5,177572140
498.5,159670150
499.5,155682467
500.5,156348468
501.5,158394047
502.5,157613217
503.5,156258975
504.5,163119557
505.5,172096233
506.5,176049277
507.5,176100169
508.5,180045792
509.5,194852890
510.5,205536987
511.5,227431620
512.5,204425726
513.5,205481999
514.5,216831068
515.5,215112757
516.5,195479278
517.5,183026101
518.5,191680891
519.5,208751298
520.5,203901515
521.5,264125085
522.5,249464390
523.5,253387923
524.5,260697045
525.5,282668797
526.5,289508799
527.5,295965323
528.5,305261367
529.5,309273982
530.5,313894098
531.5,315997616
532.5,325465318
533.5,333661808
534.5,342338066
535.5,355666720
536.5,329972056
537.5,310429130
538.5,339524389
539.5,292063750
540.5,265943063
541.5,255697979
542.5,239427519
543.5,235963614
544.5,243269446
545.5,289824601
546.5,301257254
547.5,260360997
548.5,249770643
549.5,244241833
550.5,239684552
551.5,237143712
552.5,236090779
553.5,237174401
554.5,238518336
555.5,243031947
556.5,243575231
557.5,248763864
558.5,255175561
559.5,279426041
560.5,258366532
561.5,247070759
562.5,276717783
563.5,242268483
564.5,229649116
565.5,222540448
566.5,211739592
567.5,209823447
568.5,211124346
569.5,248825821
570.5,255768268
571.5,220222543
572.5,208216390
573.5,203965186
574.5,200166158
575.5,200662901
576.5,195710929
577.5,195792403
578.5,196487569
579.5,200450789
580.5,202044604
581.5,207447102
582.5,217037120
583.5,238594162
584.5,212972295
585.5,196652558
586.5,215836151
587.5,180517287
588.5,151821413
589.5,138576347
590.5,140139405
591.5,143538997
592.5,149950253
593.5,191123370
594.5,200115020
595.5,175440547
596.5,168538293
597.5,163670511
598.5,158250617
599.5,153992355
600.5,153202547
601.5,155353490
602.5,154182600
603.5,155684122
604.5,158632932
605.5,161787452
606.5,172870955
607.5,184509648
608.5,169896895
609.5,160580011
610.5,177665330
611.5,145948223
612.5,119208037
613.5,97242722
614.5,84859788
615.5,85970071
616.5,90261433
617.5,111350784
618.5,101911255
619.5,98812288
620.5,95935953
621.5,92670304
622.5,85414901
623.5,82301032
624.5,82812659
625.5,79910201
626.5,80538082
627.5,83639236
628.5,83129623
629.5,87450354
630.5,95831038
631.5,100037245
632.5,96261017
633.5,92579140
634.5,104918890
635.5,89962732
636.5,85224878
637.5,80822906
638.5,89837921
639.5,95664732
640.5,101270165
641.5,132156915
642.5,120955075
643.5,119005466
644.5,119613197
645.5,119338922
646.5,117374371
647.5,116064834
648.5,116999127
649.5,119300688
650.5,123576269
651.5,126756985
652.5,131618687
653.5,137888574
654.5,162184549
655.5,171770037
656.5,160808799
657.5,154784163
658.5,177610954
659.5,144065304
660.5,131143782
661.5,137128132
662.5,129782414
663.5,129889357
664.5,138300884
665.5,174682847
666.5,158554126
667.5,160506276
668.5,161205079
669.5,162086728
670.5,160504402
671.5,159879824
672.5,157235118
673.5,157150764
674.5,159016291
675.5,160282125
676.5,161332661
677.5,163566393
678.5,180552302
679.5,172055827
680.5,164183165
681.5,155835004
682.5,170396295
683.5,143042594
684.5,130040122
685.5,118396192
686.5,113638606
687.5,111868756
688.5,115152633
689.5,144313394
690.5,130659720
691.5,124876418
692.5,123654583
693.5,126430798
694.5,132465605
695.5,132810569
696.5,132132129
697.5,142702015
698.5,147946894
699.5,156291549
700.5,161824690
701.5,168934164
702.5,177845411
703.5,201067223
704.5,187776068
705.5,177103399
706.5,200945365
707.5,168855530
708.5,159634624
709.5,154833112
710.5,151057070
711.5,154767081
712.5,158996804
713.5,192516913
714.5,173673065
715.5,169072900
716.5,167337279
717.5,169398060
718.5,168129322
719.5,170921172
720.5,170585891
721.5,173952123
722.5,176660843
723.5,182242047
724.5,185790584
725.5,192630175
726.5,219477475
727.5,224788641
728.5,194282454
729.5,168038965
730.5,180510354
731.5,149128955
732.5,133471866
733.5,118780010
734.5,118337862
735.5,124578694
736.5,133139002
737.5,171061306
738.5,155784273
739.5,152745426
740.5,150325864
741.5,144703096
742.5,136703063
743.5,127573050
744.5,119120495
745.5,112565754
746.5,106353820
747.5,99931039
748.5,96428300
749.5,94981892
750.5,104333439
751.5,99071357
752.5,90422504
753.5,86857153
754.5,82668609
755.5,64802985
756.5,49848426
757.5,47638869
758.5,38797294
759.5,40746713
760.5,47872409
761.5,73011404
762.5,69181772
763.5,73802243
764.5,76600253
765.5,78360648
766.5,77882004
767.5,76301774
768.5,75833538
769.5,79471468
770.5,81051905
771.5,82352993
772.5,77217141
773.5,77811483
774.5,85726772
775.5,83523470
776.5,80624638
777.5,73383265
778.5,70610527
779.5,67541766
780.5,63658296
