Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)(10000000)
0.5,0
1.5,0
2.5,0
3.5,0
4.5,0
5.5,0
6.5,0
7.5,0
8.5,8908690
9.5,9643280
10.5,14562100
11.5,46258300
12.5,52246800
13.5,43209800
14.5,26812400
15.5,10221800
16.5,0
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,0
28.5,0
29.5,0
30.5,0
31.5,0
32.5,7529370
33.5,4384230
34.5,47808100
35.5,11464900
36.5,53457400
37.5,24242400
38.5,18101000
39.5,6981060
40.5,0
41.5,0
42.5,0
43.5,0
44.5,0
45.5,0
46.5,0
47.5,0
48.5,0
49.5,0
50.5,0
51.5,0
52.5,0
53.5,0
54.5,0
55.5,0
56.5,8769900
57.5,8780580
58.5,5506330
59.5,50851800
60.5,40104000
61.5,6826370
62.5,13694700
63.5,3219920
64.5,0
65.5,0
66.5,0
67.5,0
68.5,0
69.5,0
70.5,0
71.5,0
72.5,0
73.5,0
74.5,0
75.5,0
76.5,0
77.5,0
78.5,0
79.5,0
80.5,16597100
81.5,50312100
82.5,29607700
83.5,47240200
84.5,47154700
85.5,46822400
86.5,34104400
87.5,17397700
88.5,1610390
89.5,0
90.5,0
91.5,0
92.5,0
93.5,0
94.5,0
95.5,0
96.5,0
97.5,0
98.5,0
99.5,0
100.5,0
101.5,0
102.5,0
103.5,0
104.5,30336200
105.5,51480500
106.5,64880400
107.5,71138000
108.5,70848500
109.5,64354200
110.5,50867800
111.5,30912900
112.5,2364190
113.5,0
114.5,0
115.5,0
116.5,0
117.5,0
118.5,0
119.5,0
120.5,0
121.5,0
122.5,0
123.5,0
124.5,0
125.5,0
126.5,0
127.5,0
128.5,29282600
129.5,50398700
130.5,64548000
131.5,71355000
132.5,71588300
133.5,65500700
134.5,52335300
135.5,16156100
136.5,2929050
137.5,0
138.5,0
139.5,0
140.5,0
141.5,0
142.5,0
143.5,0
144.5,0
145.5,0
146.5,0
147.5,0
148.5,0
149.5,0
150.5,0
151.5,0
152.5,29141700
153.5,50094600
154.5,63231300
155.5,46462900
156.5,69696400
157.5,63212400
158.5,50264700
159.5,30623200
160.5,546321
161.5,0
162.5,0
163.5,0
164.5,0
165.5,0
166.5,0
167.5,0
168.5,0
169.5,0
170.5,0
171.5,0
172.5,0
173.5,0
174.5,0
175.5,0
176.5,4062960
177.5,32600000
178.5,11242200
179.5,5843360
180.5,6003930
181.5,13529100
182.5,41707500
183.5,28889500
184.5,2087570
185.5,0
186.5,0
187.5,0
188.5,0
189.5,0
190.5,0
191.5,0
192.5,0
193.5,0
194.5,0
195.5,0
196.5,0
197.5,0
198.5,0
199.5,0
200.5,32594900
201.5,55437500
202.5,70294500
203.5,76359400
204.5,76359400
205.5,71505000
206.5,57813900
207.5,36550700
208.5,4324530
209.5,0
210.5,0
211.5,0
212.5,0
213.5,0
214.5,0
215.5,0
216.5,0
217.5,0
218.5,0
219.5,0
220.5,0
221.5,0
222.5,0
223.5,0
224.5,32680000
225.5,54047600
226.5,66474900
227.5,73212300
228.5,73214600
229.5,66743100
230.5,54294000
231.5,17001400
232.5,4238210
233.5,0
234.5,0
235.5,0
236.5,0
237.5,0
238.5,0
239.5,0
240.5,0
241.5,0
242.5,0
243.5,0
244.5,0
245.5,0
246.5,0
