Date/Time,Total [kW](Hourly)
 01/01  01:00:00,23.47565607
 01/01  02:00:00,23.66720886
 01/01  03:00:00,23.93535494
 01/01  04:00:00,24.20267722
 01/01  05:00:00,24.45865539
 01/01  06:00:00,24.9921505
 01/01  07:00:00,26.03234596
 01/01  08:00:00,26.28357984
 01/01  09:00:00,26.14641637
 01/01  10:00:00,25.00257106
 01/01  11:00:00,27.42250023
 01/01  12:00:00,23.58992247
 01/01  13:00:00,22.49933722
 01/01  14:00:00,22.03894186
 01/01  15:00:00,21.01060822
 01/01  16:00:00,20.7313782
 01/01  17:00:00,21.84016657
 01/01  18:00:00,26.01144812
 01/01  19:00:00,23.95388165
 01/01  20:00:00,23.67792341
 01/01  21:00:00,23.93931565
 01/01  22:00:00,24.05825517
 01/01  23:00:00,24.07908875
 01/01  24:00:00,24.00209335
 01/02  01:00:00,23.81594352
 01/02  02:00:00,23.99655642
 01/02  03:00:00,24.26703224
 01/02  04:00:00,24.52736428
 01/02  05:00:00,24.82223875
 01/02  06:00:00,25.32023708
 01/02  07:00:00,27.66916838
 01/02  08:00:00,26.51602449
 01/02  09:00:00,25.87677193
 01/02  10:00:00,23.92520391
 01/02  11:00:00,26.06206652
 01/02  12:00:00,23.61796024
 01/02  13:00:00,21.86318147
 01/02  14:00:00,21.58690451
 01/02  15:00:00,21.2103325
 01/02  16:00:00,21.17504751
 01/02  17:00:00,21.08921908
 01/02  18:00:00,24.67980587
 01/02  19:00:00,22.97663317
 01/02  20:00:00,22.41716436
 01/02  21:00:00,22.16023515
 01/02  22:00:00,22.18078299
 01/02  23:00:00,22.0300969
 01/02  24:00:00,21.8043147
 01/03  01:00:00,21.61477763
 01/03  02:00:00,21.72357451
 01/03  03:00:00,21.84310371
 01/03  04:00:00,22.05046329
 01/03  05:00:00,22.326436
 01/03  06:00:00,22.90446267
 01/03  07:00:00,23.9655448
 01/03  08:00:00,25.90722384
 01/03  09:00:00,24.58662691
 01/03  10:00:00,23.25209552
 01/03  11:00:00,25.07887183
 01/03  12:00:00,22.489375
 01/03  13:00:00,21.16343983
 01/03  14:00:00,20.68092346
 01/03  15:00:00,20.43329475
 01/03  16:00:00,20.17910391
 01/03  17:00:00,20.67062396
 01/03  18:00:00,23.9230339
 01/03  19:00:00,21.78494801
 01/03  20:00:00,21.11126173
 01/03  21:00:00,20.85769182
 01/03  22:00:00,20.4676651
 01/03  23:00:00,19.87036726
 01/03  24:00:00,19.45276343
 01/04  01:00:00,19.2113891
 01/04  02:00:00,19.34907763
 01/04  03:00:00,19.59797096
 01/04  04:00:00,19.88919636
 01/04  05:00:00,20.24035325
 01/04  06:00:00,20.98693682
 01/04  07:00:00,22.20178512
 01/04  08:00:00,24.19985599
 01/04  09:00:00,23.20924177
 01/04  10:00:00,22.35879571
 01/04  11:00:00,24.28858388
 01/04  12:00:00,21.59180385
 01/04  13:00:00,21.25577253
 01/04  14:00:00,19.51844836
 01/04  15:00:00,19.49300616
 01/04  16:00:00,19.72317123
 01/04  17:00:00,20.28920749
 01/04  18:00:00,23.60658737
 01/04  19:00:00,23.97257259
 01/04  20:00:00,20.6880421
 01/04  21:00:00,19.74520012
 01/04  22:00:00,19.70019483
 01/04  23:00:00,19.04685982
 01/04  24:00:00,18.58290846
 01/05  01:00:00,17.88793867
 01/05  02:00:00,17.55221305
 01/05  03:00:00,17.48446143
 01/05  04:00:00,17.56848467
 01/05  05:00:00,17.74978245
 01/05  06:00:00,18.34237133
 01/05  07:00:00,19.37458783
 01/05  08:00:00,20.94144834
 01/05  09:00:00,20.02135568
 01/05  10:00:00,19.63963926
 01/05  11:00:00,19.53375564
 01/05  12:00:00,21.58748307
 01/05  13:00:00,19.73868344
 01/05  14:00:00,19.3145407
 01/05  15:00:00,18.61399731
 01/05  16:00:00,18.82085683
 01/05  17:00:00,18.63043884
 01/05  18:00:00,18.77271844
 01/05  19:00:00,21.05376608
 01/05  20:00:00,19.23436983
 01/05  21:00:00,18.17829241
 01/05  22:00:00,18.8580759
 01/05  23:00:00,18.46568198
 01/05  24:00:00,17.00362805
 01/06  01:00:00,16.75315123
 01/06  02:00:00,16.66936494
 01/06  03:00:00,16.72900259
 01/06  04:00:00,16.83571568
 01/06  05:00:00,17.00590528
 01/06  06:00:00,17.56652309
 01/06  07:00:00,18.57118833
 01/06  08:00:00,20.26845698
